Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Percent Control,Compound Concentration (nM)
1285,AAK1,AAK1,21.0,500
1285,ABL2,ABL2,78.0,500
1285,ACVR1,ACVR1,63.0,500
1285,ACVR1B,ACVR1B,100.0,500
1285,ACVR2A,ACVR2A,92.0,500
1285,ACVR2B,ACVR2B,78.0,500
1285,ACVRL1,ACVRL1,96.0,500
1285,ADCK3,CABC1,85.0,500
1285,ADCK4,ADCK4,97.0,500
1285,AKT1,AKT1,99.0,500
1285,AKT2,AKT2,97.0,500
1285,AKT3,AKT3,100.0,500
1285,AMPK-alpha1,PRKAA1,100.0,500
1285,AMPK-alpha2,PRKAA2,96.0,500
1285,ANKK1,ANKK1,64.0,500
1285,ARK5,NUAK1,80.0,500
1285,ASK1,MAP3K5,92.0,500
1285,ASK2,MAP3K6,74.0,500
1285,AURKA,AURKA,97.0,500
1285,AURKB,AURKB,67.0,500
1285,AURKC,AURKC,100.0,500
1285,AXL,AXL,66.0,500
1285,BIKE,BMP2K,91.0,500
1285,BLK,BLK,80.0,500
1285,BMPR1A,BMPR1A,75.0,500
1285,BMPR1B,BMPR1B,44.0,500
1285,BMPR2,BMPR2,100.0,500
1285,BMX,BMX,82.0,500
1285,BRK,PTK6,100.0,500
1285,BRSK1,BRSK1,100.0,500
1285,BRSK2,BRSK2,97.0,500
1285,BTK,BTK,96.0,500
1285,BUB1,BUB1,18.0,500
1285,CAMK1,CAMK1,91.0,500
1285,CAMK1B,PNCK,81.0,500
1285,CAMK1D,CAMK1D,95.0,500
1285,CAMK1G,CAMK1G,94.0,500
1285,CAMK2A,CAMK2A,66.0,500
1285,CAMK2B,CAMK2B,79.0,500
1285,CAMK2D,CAMK2D,98.0,500
1285,CAMK2G,CAMK2G,96.0,500
1285,CAMK4,CAMK4,100.0,500
1285,CAMKK1,CAMKK1,70.0,500
1285,CAMKK2,CAMKK2,83.0,500
1285,CASK,CASK,63.0,500
1285,CDC2L1,CDK11B,100.0,500
1285,CDC2L2,CDC2L2,100.0,500
1285,CDC2L5,CDK13,91.0,500
1285,CDK11,CDK19,98.0,500
1285,CDK2,CDK2,100.0,500
1285,CDK3,CDK3,94.0,500
1285,CDK5,CDK5,95.0,500
1285,CDK7,CDK7,13.0,500
1285,CDK8,CDK8,100.0,500
1285,CDK9,CDK9,100.0,500
1285,CDKL1,CDKL1,100.0,500
1285,CDKL2,CDKL2,80.0,500
1285,CDKL3,CDKL3,100.0,500
1285,CDKL5,CDKL5,100.0,500
1285,CHEK1,CHEK1,89.0,500
1285,CHEK2,CHEK2,91.0,500
1285,CIT,CIT,39.0,500
1285,CLK1,CLK1,2.4,500
1285,CLK2,CLK2,9.8,500
1285,CLK3,CLK3,66.0,500
1285,CLK4,CLK4,2.7,500
1285,CSK,CSK,95.0,500
1285,CSNK1A1,CSNK1A1,78.0,500
1285,CSNK1A1L,CSNK1A1L,100.0,500
1285,CSNK1D,CSNK1D,99.0,500
1285,CSNK1E,CSNK1E,82.0,500
1285,CSNK1G1,CSNK1G1,92.0,500
1285,CSNK1G2,CSNK1G2,89.0,500
1285,CSNK1G3,CSNK1G3,100.0,500
1285,CSNK2A1,CSNK2A1,17.0,500
1285,CSNK2A2,CSNK2A2,24.0,500
1285,CTK,MATK,88.0,500
1285,DAPK1,DAPK1,88.0,500
1285,DAPK2,DAPK2,100.0,500
1285,DAPK3,DAPK3,95.0,500
1285,DCAMKL1,DCLK1,70.0,500
1285,DCAMKL2,DCLK2,92.0,500
1285,DCAMKL3,DCLK3,100.0,500
1285,DDR1,DDR1,87.0,500
1285,DDR2,DDR2,100.0,500
1285,DLK,MAP3K12,100.0,500
1285,DMPK,DMPK,100.0,500
1285,DMPK2,CDC42BPG,98.0,500
1285,DRAK1,STK17A,97.0,500
1285,DRAK2,STK17B,100.0,500
1285,DYRK1A,DYRK1A,0.0,500
1285,DYRK1B,DYRK1B,0.6,500
1285,DYRK2,DYRK2,12.0,500
1285,EIF2AK1,EIF2AK1,100.0,500
1285,EPHA1,EPHA1,85.0,500
1285,EPHA2,EPHA2,100.0,500
1285,EPHA3,EPHA3,74.0,500
1285,EPHA4,EPHA4,98.0,500
1285,EPHA5,EPHA5,99.0,500
1285,EPHA6,EPHA6,94.0,500
1285,EPHA7,EPHA7,88.0,500
1285,EPHA8,EPHA8,83.0,500
1285,EPHB1,EPHB1,87.0,500
1285,EPHB2,EPHB2,92.0,500
1285,EPHB3,EPHB3,94.0,500
1285,EPHB4,EPHB4,94.0,500
1285,EPHB6,EPHB6,25.0,500
1285,ERBB2,ERBB2,100.0,500
1285,ERBB3,ERBB3,100.0,500
1285,ERBB4,ERBB4,100.0,500
1285,ERK1,MAPK3,98.0,500
1285,ERK2,MAPK1,94.0,500
1285,ERK3,MAPK6,91.0,500
1285,ERK4,MAPK4,100.0,500
1285,ERK5,MAPK7,92.0,500
1285,ERK8,MAPK15,95.0,500
1285,ERN1,ERN1,100.0,500
1285,FAK,PTK2,94.0,500
1285,FER,FER,91.0,500
1285,FES,FES,86.0,500
1285,FGFR1,FGFR1,100.0,500
1285,FGFR2,FGFR2,82.0,500
1285,FGFR4,FGFR4,100.0,500
1285,FGR,FGR,73.0,500
1285,FLT1,FLT1,100.0,500
1285,FLT4,FLT4,84.0,500
1285,FRK,FRK,100.0,500
1285,FYN,FYN,75.0,500
1285,GAK,GAK,22.0,500
1285,"GCN2(Kin.Dom.2,S808G)",EIF2AK4,100.0,500
1285,GRK1,GRK1,75.0,500
1285,GRK2,ADRBK1,100.0,500
1285,GRK3,ADRBK2,66.0,500
1285,GRK4,GRK4,93.0,500
1285,GRK7,GRK7,93.0,500
1285,GSK3A,GSK3A,88.0,500
1285,GSK3B,GSK3B,79.0,500
1285,HASPIN,GSG2,0.2,500
1285,HCK,HCK,89.0,500
1285,HIPK1,HIPK1,37.0,500
1285,HIPK2,HIPK2,33.0,500
1285,HIPK3,HIPK3,53.0,500
1285,HIPK4,HIPK4,93.0,500
1285,HPK1,MAP4K1,83.0,500
1285,HUNK,HUNK,100.0,500
1285,ICK,ICK,100.0,500
1285,IGF1R,IGF1R,94.0,500
1285,IKK-alpha,CHUK,100.0,500
1285,IKK-beta,IKBKB,94.0,500
1285,IKK-epsilon,IKBKE,100.0,500
1285,INSR,INSR,96.0,500
1285,INSRR,INSRR,100.0,500
1285,IRAK1,IRAK1,1.1,500
1285,IRAK3,IRAK3,23.0,500
1285,IRAK4,IRAK4,3.0,500
1285,ITK,ITK,89.0,500
1285,JAK2(JH1domain-catalytic),JAK2,100.0,500
1285,JAK3(JH1domain-catalytic),JAK3,34.0,500
1285,JNK1,MAPK8,90.0,500
1285,JNK2,MAPK9,99.0,500
1285,JNK3,MAPK10,98.0,500
1285,LATS1,LATS1,100.0,500
1285,LATS2,LATS2,100.0,500
1285,LCK,LCK,63.0,500
1285,LIMK1,LIMK1,93.0,500
1285,LIMK2,LIMK2,90.0,500
1285,LKB1,STK11,100.0,500
1285,LOK,STK10,50.0,500
1285,LTK,LTK,77.0,500
1285,LYN,LYN,83.0,500
1285,LZK,MAP3K13,95.0,500
1285,MAK,MAK,100.0,500
1285,MAP3K1,MAP3K1,91.0,500
1285,MAP3K15,MAP3K15,100.0,500
1285,MAP3K2,MAP3K2,51.0,500
1285,MAP3K3,MAP3K3,95.0,500
1285,MAP3K4,MAP3K4,95.0,500
1285,MAP4K2,MAP4K2,9.4,500
1285,MAP4K3,MAP4K3,45.0,500
1285,MAP4K4,MAP4K4,36.0,500
1285,MAP4K5,MAP4K5,79.0,500
1285,MAPKAPK2,MAPKAPK2,100.0,500
1285,MAPKAPK5,MAPKAPK5,89.0,500
1285,MARK1,MARK1,100.0,500
1285,MARK2,MARK2,32.0,500
1285,MARK3,MARK3,85.0,500
1285,MARK4,MARK4,85.0,500
1285,MAST1,MAST1,81.0,500
1285,MEK1,MAP2K1,69.0,500
1285,MEK2,MAP2K2,55.0,500
1285,MEK3,MAP2K3,31.0,500
1285,MEK4,MAP2K4,90.0,500
1285,MEK5,MAP2K5,0.2,500
1285,MEK6,MAP2K6,94.0,500
1285,MELK,MELK,4.7,500
1285,MERTK,MERTK,69.0,500
1285,MINK,MINK1,10.0,500
1285,MKK7,MAP2K7,93.0,500
1285,MKNK1,MKNK1,78.0,500
1285,MKNK2,MKNK2,38.0,500
1285,MLCK,MYLK3,96.0,500
1285,MLK1,MAP3K9,92.0,500
1285,MLK2,MAP3K10,100.0,500
1285,MLK3,MAP3K11,91.0,500
1285,MRCKA,CDC42BPA,100.0,500
1285,MRCKB,CDC42BPB,100.0,500
1285,MST1,STK4,100.0,500
1285,MST1R,MST1R,100.0,500
1285,MST2,STK3,66.0,500
1285,MST3,STK24,93.0,500
1285,MST4,MST4,87.0,500
1285,MTOR,MTOR,78.0,500
1285,MUSK,MUSK,100.0,500
1285,MYLK,MYLK,63.0,500
1285,MYLK2,MYLK2,86.0,500
1285,MYLK4,MYLK4,82.0,500
1285,MYO3A,MYO3A,90.0,500
1285,MYO3B,MYO3B,49.0,500
1285,NDR1,STK38,53.0,500
1285,NDR2,STK38L,87.0,500
1285,NEK1,NEK1,100.0,500
1285,NEK10,NEK10,66.0,500
1285,NEK11,NEK11,95.0,500
1285,NEK2,NEK2,100.0,500
1285,NEK3,NEK3,91.0,500
1285,NEK4,NEK4,90.0,500
1285,NEK5,NEK5,94.0,500
1285,NEK6,NEK6,84.0,500
1285,NEK7,NEK7,99.0,500
1285,NEK9,NEK9,100.0,500
1285,NIK,MAP3K14,79.0,500
1285,NIM1,MGC42105,100.0,500
1285,NLK,NLK,95.0,500
1285,OSR1,OXSR1,100.0,500
1285,p38-alpha,MAPK14,95.0,500
1285,p38-beta,MAPK11,89.0,500
1285,p38-delta,MAPK13,98.0,500
1285,p38-gamma,MAPK12,88.0,500
1285,PAK1,PAK1,100.0,500
1285,PAK2,PAK2,84.0,500
1285,PAK3,PAK3,55.0,500
1285,PAK4,PAK4,58.0,500
1285,PAK6,PAK6,65.0,500
1285,PAK7,PAK7,28.0,500
1285,PCTK1,CDK16,100.0,500
1285,PCTK2,CDK17,100.0,500
1285,PCTK3,CDK18,81.0,500
1285,PDGFRA,PDGFRA,3.3,500
1285,PDGFRB,PDGFRB,4.9,500
1285,PDPK1,PDPK1,98.0,500
1285,PFCDPK1(P.falciparum),CDPK1,56.0,500
1285,PFPK5(P.falciparum),MAL13P1.279,91.0,500
1285,PFTAIRE2,CDK15,100.0,500
1285,PFTK1,CDK14,79.0,500
1285,PHKG1,PHKG1,87.0,500
1285,PHKG2,PHKG2,32.0,500
1285,PIK3C2B,PIK3C2B,98.0,500
1285,PIK3C2G,PIK3C2G,83.0,500
1285,PIK3CB,PIK3CB,90.0,500
1285,PIK3CD,PIK3CD,81.0,500
1285,PIK3CG,PIK3CG,63.0,500
1285,PIK4CB,PI4KB,95.0,500
1285,PIKFYVE,PIKFYVE,100.0,500
1285,PIM1,PIM1,97.0,500
1285,PIM2,PIM2,100.0,500
1285,PIM3,PIM3,97.0,500
1285,PIP5K1A,PIP5K1A,100.0,500
1285,PIP5K1C,PIP5K1C,100.0,500
1285,PIP5K2B,PIP4K2B,100.0,500
1285,PIP5K2C,PIP4K2C,75.0,500
1285,PKAC-alpha,PRKACA,91.0,500
1285,PKAC-beta,PRKACB,99.0,500
1285,PKMYT1,PKMYT1,91.0,500
1285,PKN1,PKN1,81.0,500
1285,PKN2,PKN2,93.0,500
1285,PKNB(M.tuberculosis),pknB,78.0,500
1285,PLK1,PLK1,98.0,500
1285,PLK2,PLK2,90.0,500
1285,PLK3,PLK3,86.0,500
1285,PLK4,PLK4,97.0,500
1285,PRKCD,PRKCD,100.0,500
1285,PRKCE,PRKCE,100.0,500
1285,PRKCH,PRKCH,100.0,500
1285,PRKCI,PRKCI,98.0,500
1285,PRKCQ,PRKCQ,82.0,500
1285,PRKD1,PRKD1,96.0,500
1285,PRKD2,PRKD2,99.0,500
1285,PRKD3,PRKD3,86.0,500
1285,PRKG1,PRKG1,100.0,500
1285,PRKG2,PRKG2,100.0,500
1285,PRKR,EIF2AK2,98.0,500
1285,PRKX,PRKX,100.0,500
1285,PRP4,PRPF4B,100.0,500
1285,PYK2,PTK2B,96.0,500
1285,QSK,KIAA0999,70.0,500
1285,RAF1,RAF1,100.0,500
1285,RIOK1,RIOK1,97.0,500
1285,RIOK2,RIOK2,54.0,500
1285,RIOK3,RIOK3,84.0,500
1285,RIPK1,RIPK1,76.0,500
1285,RIPK2,RIPK2,95.0,500
1285,RIPK4,RIPK4,100.0,500
1285,RIPK5,DSTYK,77.0,500
1285,ROCK1,ROCK1,39.0,500
1285,ROCK2,ROCK2,75.0,500
1285,ROS1,ROS1,90.0,500
1285,S6K1,RPS6KB1,61.0,500
1285,SBK1,SBK1,97.0,500
1285,SGK,SGK1,65.0,500
1285,SgK110,SgK110,100.0,500
1285,SGK2,SGK2,53.0,500
1285,SGK3,SGK3,100.0,500
1285,SIK,SIK1,92.0,500
1285,SIK2,SIK2,38.0,500
1285,SLK,SLK,20.0,500
1285,SNARK,NUAK2,38.0,500
1285,SNRK,SNRK,100.0,500
1285,SRC,SRC,86.0,500
1285,SRMS,SRMS,92.0,500
1285,SRPK1,SRPK1,77.0,500
1285,SRPK2,SRPK2,100.0,500
1285,SRPK3,SRPK3,94.0,500
1285,STK16,STK16,76.0,500
1285,STK33,STK33,85.0,500
1285,STK35,STK35,100.0,500
1285,STK36,STK36,90.0,500
1285,STK39,STK39,100.0,500
1285,SYK,SYK,92.0,500
1285,TAK1,MAP3K7,52.0,500
1285,TAOK1,TAOK1,92.0,500
1285,TAOK2,TAOK2,99.0,500
1285,TAOK3,TAOK3,100.0,500
1285,TBK1,TBK1,50.0,500
1285,TEC,TEC,87.0,500
1285,TESK1,TESK1,96.0,500
1285,TGFBR1,TGFBR1,100.0,500
1285,TGFBR2,TGFBR2,83.0,500
1285,TIE1,TIE1,100.0,500
1285,TIE2,TEK,99.0,500
1285,TLK1,TLK1,94.0,500
1285,TLK2,TLK2,100.0,500
1285,TNIK,TNIK,15.0,500
1285,TNK1,TNK1,80.0,500
1285,TNK2,TNK2,98.0,500
1285,TNNI3K,TNNI3K,100.0,500
1285,TRKA,NTRK1,6.1,500
1285,TRKB,NTRK2,12.0,500
1285,TRKC,NTRK3,20.0,500
1285,TRPM6,TRPM6,85.0,500
1285,TSSK1B,TSSK1B,83.0,500
1285,TSSK3,TSSK3,86.0,500
1285,TTK,TTK,75.0,500
1285,TXK,TXK,60.0,500
1285,TYRO3,TYRO3,88.0,500
1285,ULK1,ULK1,93.0,500
1285,ULK2,ULK2,89.0,500
1285,ULK3,ULK3,70.0,500
1285,VEGFR2,KDR,79.0,500
1285,VPS34,PIK3C3,97.0,500
1285,VRK2,VRK2,74.0,500
1285,WEE1,WEE1,83.0,500
1285,WEE2,WEE2,100.0,500
1285,WNK1,WNK1,100.0,500
1285,WNK2,WNK2,87.0,500
1285,WNK3,WNK3,100.0,500
1285,WNK4,WNK4,99.0,500
1285,YANK1,STK32A,100.0,500
1285,YANK2,STK32B,100.0,500
1285,YANK3,STK32C,95.0,500
1285,YES,YES1,90.0,500
1285,YSK1,STK25,86.0,500
1285,YSK4,MAP3K19,2.7,500
1285,ZAK,ZAK,66.0,500
1285,ZAP70,ZAP70,100.0,500
1285,ABL1_mean,ABL1,45.38666666666666,500
1285,ALK_mean,ALK,91.0,500
1285,BRAF_mean,BRAF,82.5,500
1285,CDK4_mean,CDK4,91.0,500
1285,CSF1R_mean,CSF1R,69.5,500
1285,EGFR_mean,EGFR,80.16666666666667,500
1285,FGFR3_mean,FGFR3,90.0,500
1285,FLT3_mean,FLT3,13.736363636363636,500
1285,JAK1_mean,JAK1,87.5,500
1285,KIT_mean,KIT,28.233333333333334,500
1285,LRRK2_mean,LRRK2,32.5,500
1285,MET_mean,MET,85.66666666666667,500
1285,PIK3CA_mean,PIK3CA,86.4,500
1285,RET_mean,RET,92.25,500
1285,RPS6KA4_mean,RPS6KA4,85.5,500
1285,RPS6KA5_mean,RPS6KA5,92.5,500
1285,RPS6KA1_mean,RPS6KA1,92.5,500
1285,RPS6KA3_mean,RPS6KA3,63.5,500
