Kinase,OTSSP167 (1 μM) % AR,OTSSP167 (1 μM) SD,HTH-01-091 (1 μM) % AR,HTH-01-091 (1 μM) SD,Diff,SD Diff
BRSK2,2,2,125,2,123,2.828427125
EPH-B1,11,2,122,7,111,7.280109889
EIF2AK3,7,0,114,18,107,18
SYK,7,1,112,4,105,4.123105626
MPSK1,5,0,107,11,102,11
EPH-B4,2,0,104,17,102,17
ULK2,4,0,105,15,101,15
PKA,12,0,112,24,100,24
PDK1,4,1,102,0,98,1
IR,2,0,100,3,98,3
PLK1,3,0,95,0,92,0
MST4,5,1,96,3,91,3.16227766
MNK2,13,2,103,2,90,2.828427125
IKK epsilon,2,0,92,5,90,5
CAMKK beta,2,1,91,54,89,54.00925847
JNK3,13,1,101,1,88,1.414213562
CDK9-Cyclin T1,4,1,92,4,88,4.123105626
Aurora A,10,1,98,7,88,7.071067812
MST3,5,0,93,1,88,1
BRK,8,3,96,4,88,5
IGF-1R,4,0,92,2,88,2
JNK1,10,1,97,3,87,3.16227766
GSK3 beta,0,0,86,4,86,4
TGFBR1,16,1,102,10,86,10.04987562
p38 delta,4,1,89,0,85,1
JNK2,16,1,100,3,84,3.16227766
MAPKAP-K2,14,4,98,10,84,10.77032961
SRPK1,10,1,94,13,84,13.03840481
BRSK1,2,0,85,9,83,9
ASK1,7,2,90,1,83,2.236067977
IRAK1,3,1,86,6,83,6.08276253
TBK1,6,1,88,17,82,17.02938637
MNK1,28,0,109,1,81,1
MARK3,13,3,94,2,81,3.605551275
MARK4,14,0,95,0,81,0
EPH-B3,18,7,99,23,81,24.04163056
HER4,4,0,84,9,80,9
p38 beta,6,0,85,9,79,9
S6K1,2,0,81,2,79,2
SIK3,4,1,83,4,79,4.123105626
CAMK1,15,1,93,5,78,5.099019514
IRAK4,7,1,85,7,78,7.071067812
FGF-R1,4,1,82,5,78,5.099019514
PKC zeta,19,1,96,9,77,9.055385138
SIK2,2,0,79,2,77,2
PRK2,2,0,77,0,75,0
CHK1,11,1,86,8,75,8.062257748
p38 alpha,10,1,84,2,74,2.236067977
p38 gamma,12,5,86,2,74,5.385164807
PKB alpha,28,1,101,3,73,3.16227766
PKD1,6,0,79,11,73,11
IRR,6,2,79,2,73,2.828427125
PKC alpha,7,1,79,17,72,17.02938637
PHK,3,4,74,4,71,5.656854249
MARK2,23,1,94,3,71,3.16227766
PKC gamma,1,0,71,7,70,7
CK1 gamma 2,10,3,80,12,70,12.36931688
PAK4,9,2,79,1,70,2.236067977
ABL,1,0,70,3,69,3
EPH-B2,1,1,70,2,69,2.236067977
TIE2,3,0,71,3,68,3
TSSK1,1,0,68,6,67,6
CSK,9,6,76,2,67,6.32455532
ERK5,4,1,70,12,66,12.04159458
MARK1,31,1,97,1,66,1.414213562
NUAK1,0,2,66,4,66,4.472135955
