Name,Kinase,Direct binder,CC-401,OTS-167,id,Name_official
BMPR1B,yes,yes,inf,2,658,BMPR1B
GAK,yes,yes,1464,5,2580,GAK
RIPK2,yes,yes,inf,5,8767,RIPK2
CSNK2A2,yes,yes,584,10,1459,CSNK2A2
DYRK1A,yes,yes,161,10,1859,DYRK1A
CLK1,yes,yes,inf,11,1195,CLK1
CSNK2B,no,no,741,11,1460,CSNK2B
DCAF7,no,no,28,11,10238,DCAF7
IRAK3,yes,yes,inf,12,11213,IRAK3
BCR,no,yes,inf,14,613,BCR
EIF3J,no,no,784,14,8669,EIF3J
LATS1,yes,yes,inf,14,9113,LATS1
PIM1,yes,yes,inf,14,5292,PIM1
STK10,yes,yes,inf,14,6793,STK10
TAOK1,yes,yes,inf,17,57551,TAOK1
TAOK3,yes,yes,inf,21,51347,TAOK3
NLK,yes,yes,inf,24,51701,NLK
RET,yes,yes,inf,28,5979,RET
MELK,yes,yes,217,29,9833,MELK
PTK2B,yes,yes,inf,30,2185,PTK2B
PLK4,yes,yes,inf,33,10733,PLK4
CDK16,yes,yes,inf,34,5127,CDK16
FER,yes,yes,inf,47,2241,FER
MAP3K11,yes,yes,inf,52,4296,MAP3K11
CCNB1,no,no,inf,57,891,CCNB1
RPS6KA6,yes,yes,inf,57,27330,RPS6KA6
MAP2K5,yes,yes,inf,58,5607,MAP2K5
STK4,yes,yes,inf,67,6789,STK4
PRKD2,yes,yes,56,69,25865,PRKD2
STK3,yes,yes,inf,70,6788,STK3
MAP4K5,yes,yes,inf,71,11183,MAP4K5
LCK,yes,yes,inf,73,3932,LCK
EPHA5,yes,yes,inf,75,2044,EPHA5
GSK3B,yes,yes,inf,80,2932,GSK3B
PRKCD,yes,yes,inf,80,5580,PRKCD
CDK9,yes,yes,inf,81,1025,CDK9
GSK3A,yes,yes,inf,87,2931,GSK3A
MAPK15,yes,yes,inf,90,225689,MAPK15
CDK2,yes,yes,inf,91,1017,CDK2
EPHA1,yes,yes,inf,91,2041,EPHA1
CCNB2,no,no,inf,92,9133,CCNB2
PRKD3,yes,yes,90,93,23683,PRKD3
CIT,yes,yes,inf,98,11113,CIT
SLC5A1,no,no,,98,6523,SLC5A1
UNC119,no,no,inf,99,9094,UNC119
ZAK,yes,yes,inf,101,51776,MAP3K20
PDGFRB,yes,yes,inf,103,5159,PDGFRB
EPHA2,yes,yes,inf,110,1969,EPHA2
RPS6KA4,yes,yes,inf,111,8986,RPS6KA4
MAPK10,yes,yes,3243,112,5602,MAPK10
SLK,yes,yes,inf,113,9748,SLK
HCK,yes,yes,inf,116,3055,HCK
