GeneSymbol,Name,OTSSP167,STF1285
AAK1,AAK1,6.2,21.0
ABL1,ABL1,4.533333333333332,13.0
ABL2,ABL2,72.0,78.0
ACVR1,ACVR1,43.0,63.0
ACVR1B,ACVR1B,82.0,100.0
ACVR2A,ACVR2A,100.0,92.0
ACVR2B,ACVR2B,100.0,78.0
ACVRL1,ACVRL1,89.0,96.0
AKT1,AKT1,97.0,99.0
AKT2,AKT2,89.0,97.0
AKT3,AKT3,100.0,100.0
ALK,ALK,15.633333333333333,95.0
ANKK1,ANKK1,38.0,64.0
AURKA,AURKA,6.6,97.0
AURKB,AURKB,0.65,67.0
AURKC,AURKC,67.0,100.0
AXL,AXL,2.5,66.0
BLK,BLK,0.6,80.0
BMP2K,BMP2K,61.0,91.0
BMPR1A,BMPR1A,87.0,75.0
BMPR1B,BMPR1B,0.0,44.0
BMPR2,BMPR2,53.0,100.0
BMX,BMX,49.0,82.0
BRAF,BRAF,25.0,83.0
BRSK1,BRSK1,67.0,100.0
BRSK2,BRSK2,100.0,97.0
BTK,BTK,20.0,96.0
BUB1,BUB1,0.05,18.0
CAMK1,CAMK1,81.0,91.0
CAMK1D,CAMK1D,69.0,95.0
CAMK1G,CAMK1G,62.0,94.0
CAMK2A,CAMK2A,74.0,66.0
CAMK2B,CAMK2B,100.0,79.0
CAMK2D,CAMK2D,83.0,98.0
CAMK2G,CAMK2G,83.0,96.0
CAMK4,CAMK4,100.0,100.0
CAMKK1,CAMKK1,1.5,70.0
CAMKK2,CAMKK2,1.8,83.0
CASK,CASK,62.0,63.0
CDC42BPA,CDC42BPA,93.0,100.0
CDC42BPB,CDC42BPB,92.0,100.0
CDC42BPG,CDC42BPG,89.0,98.0
CDK11A,CDC2L2,11.0,100.0
CDK11B,CDK11B,16.0,100.0
CDK13,CDK13,31.0,91.0
CDK14,CDK14,49.0,79.0
CDK15,CDK15,42.0,100.0
CDK16,CDK16,0.2,100.0
CDK17,CDK17,24.0,100.0
CDK18,CDK18,43.0,81.0
CDK19,CDK19,100.0,98.0
CDK2,CDK2,29.0,100.0
CDK3,CDK3,5.7,94.0
CDK4,CDK4,16.26666666666667,100.0
CDK5,CDK5,71.0,95.0
CDK7,CDK7,0.05,13.0
CDK8,CDK8,100.0,100.0
CDK9,CDK9,11.0,100.0
CDKL1,CDKL1,3.6,100.0
CDKL2,CDKL2,0.15,80.0
CDKL3,CDKL3,1.5,100.0
CDKL5,CDKL5,1.6,100.0
CHEK1,CHEK1,100.0,89.0
CHEK2,CHEK2,2.9,91.0
CHUK,CHUK,15.0,100.0
CIT,CIT,1.3,39.0
CLK1,CLK1,1.4,2.4
CLK2,CLK2,4.3,9.8
CLK3,CLK3,7.2,66.0
CLK4,CLK4,0.9,2.7
COQ8A,CABC1,93.0,85.0
COQ8B,ADCK4,86.0,97.0
CSF1R,CSF1R,19.5,58.0
CSK,CSK,55.0,95.0
CSNK1A1,CSNK1A1,6.4,78.0
CSNK1A1L,CSNK1A1L,100.0,100.0
CSNK1D,CSNK1D,65.0,99.0
CSNK1E,CSNK1E,100.0,82.0
CSNK1G1,CSNK1G1,33.0,92.0
CSNK1G2,CSNK1G2,79.0,89.0
CSNK1G3,CSNK1G3,88.0,100.0
CSNK2A1,CSNK2A1,0.8,17.0
CSNK2A2,CSNK2A2,0.0,24.0
DAPK1,DAPK1,0.1,88.0
DAPK2,DAPK2,4.1,100.0
DAPK3,DAPK3,1.8,95.0
DCLK1,DCLK1,40.0,70.0
DCLK2,DCLK2,91.0,92.0
DCLK3,DCLK3,0.7,100.0
DDR1,DDR1,75.0,87.0
DDR2,DDR2,13.0,100.0
DMPK,DMPK,91.0,100.0
DSTYK,DSTYK,5.1,77.0
DYRK1A,DYRK1A,0.0,0.0
DYRK1B,DYRK1B,0.75,0.6
DYRK2,DYRK2,0.0,12.0
EGFR,EGFR,65.16666666666667,80.0
EIF2AK1,EIF2AK1,100.0,100.0
EIF2AK2,EIF2AK2,77.0,98.0
EIF2AK4,EIF2AK4,67.0,100.0
EPHA1,EPHA1,32.0,85.0
EPHA2,EPHA2,84.0,100.0
EPHA3,EPHA3,0.65,74.0
EPHA4,EPHA4,85.0,98.0
EPHA5,EPHA5,63.0,99.0
EPHA6,EPHA6,81.0,94.0
EPHA7,EPHA7,47.0,88.0
EPHA8,EPHA8,66.0,83.0
EPHB1,EPHB1,100.0,87.0
EPHB2,EPHB2,54.0,92.0
